13/11/2018 01:08:20
Results for 100 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,projetoIA.CrazyTrainVersion1*,30605 (43%),11150,2130,13874,2257,1147,46,71,2,6
2nd,SuperRamFire.SuperRamFire*,21765 (31%),7300,120,10843,1286,1900,317,4,41,52
3rd,sample.Crazy,10668 (15%),7600,300,2331,165,272,0,10,49,24
4th,sample.Walls,8036 (11%),3950,450,3275,261,100,0,15,8,18
$
